"year","trial_group","trial_block","trial","variety","variety_tag","identifier","replicate","sample","is_check","partner_id","partner_location_id","plot_number","block","breeder_merit_score","date_planting","seed_pieces_planted","seed_observations","date_vinekill","date_harvest","date_gathered","plant_stand","final_emergence","roguing_notes","vine_maturity","verticillium_wilt","specific_gravity","undersize_yield","small_yield","mid_yield","oversize_yield","cull_tuber_defects","calc_nfpt_total_yield","calc_nfpt_mkt_yield","calc_nfpt_mkt_undersize_yield","calc_nfpt_mkt_4oz_yield","calc_nfpt_mkt_6oz_yield","calc_nfpt_mkt_10oz_yield","calc_nfpt_mkt_cull_yield","calc_nfpt_mkt_total_yield","tuber_length","tuber_width","tuber_depth","tuber_shape","tuber_flesh_color","tuber_appearance","tuber_defects","field_observations","total_weight","growth_crack","greening","defect_green","powdery_scab","common_scab","scab","shatter_bruise","internal_brown_spot","vascular_discoloration","harvest_comments","total_glycoalkaloids","fry_color","internal_tuber_defects","external_tuber_defects","comments"
"2011","NFPT","ID","2011 NFPT ID","AF2850-9","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.093","59.2","51","94.5","45.3","8.3","258.2","190.7","0.24","0.76","0.56","0.18","0.03","0.74","","","","5","1","5","no primary  noted","; roguing; flaky light russ","258.24","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W6360-1rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","9","","1.09","54.9","62.3","114.5","76.7","0","308.3","253.5","0.18","0.82","0.62","0.25","0","0.82","","","","4","1","6","no primary  noted","; light russet; skinning","308.34","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Caribou Russet","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.081","15.2","40.9","117.6","119.8","13.9","307.5","278.3","0.05","0.95","0.81","0.41","0.05","0.91","","","","5","1","6","some twists","; long, large, light russet","307.47","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AF3317-15Rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","7","","1.088","18.3","22.7","84.9","144.6","78.4","348.8","252.2","0.07","0.93","0.85","0.53","0.22","0.72","","","","5","1","5","curves, twists","; large, twists w/size; skinning","348.84","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W9604-1rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.098","110.6","120.6","179.9","29.6","0","440.7","330.1","0.25","0.75","0.48","0.07","0","0.75","","","","4","1","5","no primary  noted","; blocky; light russ; smaller size;some pit scab","440.72","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W8946-1rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.099","39.2","46.2","93.6","86.2","45.3","310.5","226","0.15","0.85","0.68","0.33","0.15","0.73","","","","5","1","4","points, twisting","; some severe stem end points","310.51","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W8743-1rus","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.095","48.3","51.4","87.5","44.4","13.1","244.8","183.4","0.21","0.79","0.57","0.19","0.05","0.75","","","","3","1","4","no primary  noted","; more chipper-look; ","244.76","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W8152-1rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.098","23.5","68.4","132","96.3","31.4","351.5","296.6","0.07","0.93","0.71","0.3","0.09","0.84","","","","4","1","6","skin cracking","; skin checking w/some cracking","351.46","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W7449-1rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.097","49.7","66.6","120.2","155.9","5.2","397.6","342.7","0.13","0.87","0.7","0.4","0.01","0.86","","","","4","1","5","some greening","; large, skinning; irregs w/size;Hollow Heart","397.62","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","W6234-4rus","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.085","24.4","32.7","71.9","198.6","26.6","354.1","303.1","0.07","0.93","0.83","0.61","0.08","0.86","","","","5","1","6","mishapen","; shatter; light russet; ","354.07","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","PA99N82-4","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.093","29.2","45.3","108.9","204.7","15.7","403.7","358.9","0.08","0.92","0.81","0.53","0.04","0.89","","","","4","1","5","some GC's","; med. Russet; blocky, variable size","403.72","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO99100-1Rus","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","3","","1.083","41.8","50.1","151.6","49.2","0","292.7","250.8","0.14","0.86","0.69","0.17","0","0.86","","","","4","1","7","no primary  noted","; hvy russ; nice type; lower yield","292.65","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO99053-4RU","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.076","66.2","72.7","170.7","21.8","1.7","333.2","265.2","0.2","0.8","0.58","0.07","0.01","0.8","","","","5","1","5","no primary  noted","; med. Russ; some twists, points, & scab; low SG","333.17","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO99053-3RU","","","","1","","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.084","33.1","39.6","118.5","162","37","390.2","320.1","0.09","0.91","0.79","0.46","0.09","0.82","","","","5","1","5","no primary  noted","; points on stem end; med. Russ","390.22","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO98067-7RUS","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.077","156.3","77.5","57.9","11.8","7.8","311.4","147.2","0.52","0.48","0.23","0.04","0.03","0.47","","","","","1","6","mishapen","; low yield; med russ;small; low SG","311.38","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO97087-2RU","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.093","82.8","102.3","139.4","76.7","23.1","424.2","318.4","0.21","0.79","0.54","0.19","0.05","0.75","","","","4","1","4","no primary  noted","; hvy russ; irreg shapes; smaller","424.18","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","CO95086-8Rus","","","","1","","","","","","2","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","4","","1.089","40.1","41.8","162.9","101","0","345.8","305.7","0.12","0.88","0.76","0.29","0","0.88","","","","4","1","7","no primary  noted","; hvy russ; good type in middle","345.8","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","","","","","1","","","","","","4","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.096","58.4","32.7","132.4","241.3","35.7","500.4","406.3","0.13","0.87","0.8","0.52","0.07","0.81","","","","5","1","3","irregs & twists","; deeper eyed; med. Russ; skinning","500.39","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","AC96052-1Rus","","","","1","","","","","","1","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","6","","1.086","26.6","58.4","124.1","135.9","1.7","346.7","318.4","0.08","0.92","0.75","0.39","0.01","0.92","","","","4","1","8","no primary  noted","; nice type; blocky, med. Russ","346.67","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","Russet Burbank","","","","1","1","","","","","3","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.08","38.3","53.1","113.7","112.4","50.1","367.6","279.2","0.12","0.88","0.71","0.35","0.14","0.76","","","","5","1","5","2nd & Gc's","; med. Russ; second growth","367.56","","","","","","","","","","","","","","",""
"2011","NFPT","ID","2011 NFPT ID","","","","","1","","","","","","1","2011-05-04 00:00:00","","","","2011-09-21 00:00:00","2011-09-22 00:00:00","","","","5","","1.083","20","15.2","121.5","196.4","0","353.2","333.2","0.06","0.94","0.9","0.56","0","0.94","","","","4","1","8","no primary  noted","; nice type; blocky, med. Russ","353.18","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","ND060735-4Russ","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.087","112.1","158","137.7","12.2","0","420.1","307.9","0.27","0.73","0.36","0.03","0","0.73","","","","4","1","8","","small - close within-row spacing","420.06","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A02424-83LB","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.093","51.1","80.2","224.3","72.6","13.4","441.6","377.1","0.12","0.88","0.69","0.17","0.03","0.85","","","","5","1","6","rough","pointy; spindly","441.57","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A0073-2","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.086","53.5","86.6","142.9","95.9","18.6","397.4","325.4","0.14","0.86","0.63","0.25","0.05","0.82","","","","5","1","7","hearts, rough","rough","397.41","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A01010-1","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.082","51.1","70.9","163.8","70.9","28.5","385.2","305.6","0.14","0.86","0.66","0.2","0.07","0.79","","","","5","2","5","hearts; gcs","spindly; RB like; low specific gravity","385.2","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A01025-4","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.081","38.4","52.3","144.1","234.1","37.2","506.1","430.5","0.08","0.92","0.81","0.5","0.07","0.85","","","","5","1","5","rough","spindly; low specific gravity","506.05","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A01124-3","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.077","29.6","70.9","119.7","101.7","13.4","335.2","292.3","0.09","0.91","0.69","0.32","0.04","0.87","","","","5","1","5","hearts; rough","points; spindly; low SG; rough","335.24","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A01325-1","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.078","50","61","170.8","80.2","4.7","366.6","312","0.14","0.86","0.69","0.22","0.01","0.85","","","","4","1","7","rough","light russet; skinning; low SG","366.62","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A02060-3TE","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.091","41.8","73.2","111","108.1","8.7","342.8","292.3","0.13","0.87","0.66","0.32","0.03","0.85","","","","5","1","7","vine wraps","little; spindly","342.8","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Pomerelle Russet","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.081","12.2","22.7","75","164.4","77.9","352.1","262","0.04","0.96","0.87","0.6","0.22","0.74","","","","5","1","1","gcs; curves","too spindly; low SG","352.08","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A02138-2","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.1","105.2","112.7","130.7","35.4","12.2","396.2","278.9","0.27","0.73","0.43","0.09","0.03","0.7","","","","4","1","7","hearts; gcs","","396.24","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Payette Russet","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.085","25","50.6","133.1","190","2.3","400.9","373.6","0.06","0.94","0.81","0.48","0.01","0.93","","","","5","1","7","rough","","400.89","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.075","19.2","34.3","103.4","198.1","138.9","493.9","335.8","0.05","0.95","0.85","0.56","0.28","0.68","","","","4","1","1","1 heart; rough","points; gcs","493.85","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A03082-4","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.077","19.2","27.9","120.3","355.6","36","558.9","503.7","0.04","0.96","0.91","0.68","0.06","0.9","","","","5","1","6","rough","deep eyes; rough","558.92","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A03921-2","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.097","29.6","44.2","135.4","195.2","11.6","416","374.8","0.07","0.93","0.82","0.48","0.03","0.9","","","","5","1","8","rough","","416","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Alpine Russet","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.086","46.5","123.2","251.6","94.1","25","540.3","468.9","0.09","0.91","0.67","0.18","0.05","0.87","","","","5","1","6","rough; pointed ends","points","540.32","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A82360-7","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.083","63.9","84.8","121.4","88.9","41.3","400.3","295.2","0.18","0.82","0.59","0.25","0.1","0.74","","","","5","1","6","bottlenecks","points; rough","400.31","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A81473-2","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.083","30.2","59.3","147","158","0","394.5","364.3","0.08","0.92","0.77","0.4","0","0.92","","","","4","1","7","","low SG","394.49","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","AOA95154-1","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.098","40.7","54.6","134.2","93","8.1","330.6","281.8","0.13","0.87","0.7","0.29","0.02","0.85","","","","4","1","9","heart; knob","dark; nice","330.58","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","GemStar Russet","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.075","39.5","46.5","88.9","223.1","20.9","418.9","358.5","0.1","0.9","0.78","0.56","0.05","0.86","","","","4","1","6","knobs; rough","knobs; rough; some points","418.9","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Highland Russet","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.097","25.6","74.4","172.6","138.9","47.6","459","385.8","0.06","0.94","0.76","0.34","0.1","0.84","","","","5","1","6","gcs; rough; folded ends","spindly","458.99","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Premier Russet","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","5","","1.095","33.7","45.3","134.8","115","26.2","355","295.2","0.1","0.9","0.76","0.35","0.07","0.83","","","","5","1","9","hearts, rough; folded ends","","355","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A0012-5","","","","1","","","","","","3","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.059","13.4","27.9","56.9","51.7","29.1","179","136.5","0.09","0.91","0.72","0.34","0.16","0.76","","","","2","1","1","rough","v. rough","178.95","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","Blazer Russet","","","","1","","","","","","4","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.073","19.8","40.1","146.4","189.4","49.4","445.1","375.9","0.05","0.95","0.85","0.48","0.11","0.84","","","","4","1","7","knobs; gcs","gcs; knobs; points","445.05","","","","","","","","","","","","","","",""
"2011","NFPT","ND","2011 NFPT ND","A7411-2 ","","","","1","","","","","","2","2011-05-24 00:00:00","","","","2011-09-23 00:00:00","2011-10-07 00:00:00","","","","7","","1.084","66.8","84.8","221.9","73.8","17.4","464.8","380.6","0.15","0.85","0.66","0.16","0.04","0.82","","","","5","1","1","curves","v. spindly","464.81","","","","","","","","","","","","","","",""
